d,valence,eltype,solve_tol,target,ops,method,solver,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
15,3,Float64,1e-06,1e-16,universal,QuickDer3,none,5.5141,0.0002,5.5143,26545696,13,1.367e-15,false,5.176e-01,0.7321,false,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/Auto,AutoSolver,3.8769,0.0004,3.8773,8805344,3,1.056e-15,false,2.898e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/SVD,SVDSolver,5.8021,0.0004,5.8025,8801280,3,1.484e-15,false,3.211e-13,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/LU,LUSolver,0.8595,0.0002,0.8597,4586672,3,6.041e-16,false,3.800e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/Gram,GramSolver,1.8092,0.0002,1.8094,6302672,3,6.079e-16,false,2.412e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/Arpack,ArpackSolver,1.1010,0.0002,1.1012,4275456,3,4.758e-15,false,1.755e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/Krylov,KrylovSolver,10.3067,0.0004,10.3070,12114112,3,2.632e-15,false,4.617e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/Lanczos,LanczosSolver,0.0138,0.0000,0.0138,16952768,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/CG,CGSolver,101.1719,0.0003,101.1722,52797296,3,8.034e-13,false,1.029e-11,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/LSMR,LSMRSolver,174.8010,0.0002,174.8012,2598246496,3,1.150e-16,false,7.783e-15,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SylverLining/ShiftInvert,ShiftInvertSolver,11.4753,0.0000,11.4753,818975872,0,NaN,false,NaN,NaN,false,15 15 15,120,error: no nontrivial derivations at tol = 1.0e-6
15,3,Float64,1e-06,1e-16,symmetric,Auto,none,4.9189,0.0002,4.9190,80529616,3,1.262e-14,false,5.925e-14,1.0000,true,15 15 15,120,ok
15,3,Float64,1e-06,1e-16,symmetric,SymmetricGram,none,1.9232,0.0003,1.9235,18131912,3,3.776e-16,false,1.023e-14,1.0000,true,15 15 15,120,ok
20,3,Float32,1e-06,1e-08,universal,SylverLining/Auto,AutoSolver,2.4409,0.0003,2.4412,14901280,13,1.128e-05,false,2.009e-01,0.9597,false,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,universal,SylverLining/SVD,SVDSolver,41.8316,0.0006,41.8322,58379408,13,2.224e-06,false,3.092e-01,0.9044,false,20 20 20,210,ok
