case,truth,T,solver,mult,eigtol,seconds,nullity,certified,rule,gap,spec1,spec2,spec3,spec4,spec5
video-20x20x10x3,3,Float32,ArpackSolver,100.0,1.19e-05,0.43,3,true,gap,446,1e-08,1.17e-08,1.96e-08,0.000266,0.000272
video-20x20x10x3,3,Float32,KrylovSolver,1.0,1.19e-07,3.97,3,true,gap,445.8,6.86e-08,8.64e-08,4.43e-07,0.000266,0.000272
video-20x20x10x3,3,Float32,KrylovSolver,3.0,3.58e-07,1.01,3,true,gap,446,2.18e-08,6.52e-08,1.38e-07,0.000266,0.000272
video-20x20x10x3,3,Float32,KrylovSolver,10.0,1.19e-06,0.69,3,true,gap,446,4.41e-09,1.39e-07,1.99e-07,0.000266,0.000272
video-20x20x10x3,3,Float32,KrylovSolver,30.0,3.58e-06,0.63,3,true,gap,446,6.63e-08,1.4e-07,4.23e-07,0.000266,0.000272
video-20x20x10x3,3,Float32,KrylovSolver,100.0,1.19e-05,0.45,3,true,gap,445.9,3.13e-08,6.16e-08,1.07e-07,0.000266,0.000272
video-20x20x10x3,3,Float16,ArpackSolver,1.0,1.19e-07,0.49,3,false,gap,446,3.8e-09,1.45e-08,3.24e-08,0.000266,0.000272
video-20x20x10x3,3,Float16,ArpackSolver,3.0,3.58e-07,0.44,3,false,gap,445.9,1.49e-08,3.03e-08,3.36e-08,0.000266,0.000272
video-20x20x10x3,3,Float16,ArpackSolver,10.0,1.19e-06,0.47,3,false,gap,446,1.44e-08,4.34e-08,1.01e-07,0.000266,0.000272
video-20x20x10x3,3,Float16,ArpackSolver,30.0,3.58e-06,0.43,3,false,gap,446,1.65e-08,4.77e-08,5.14e-08,0.000266,0.000272
video-20x20x10x3,3,Float16,ArpackSolver,100.0,1.19e-05,0.45,3,false,gap,446,1.47e-09,2.06e-08,2.62e-08,0.000266,0.000272
video-20x20x10x3,3,Float16,KrylovSolver,1.0,1.19e-07,3.83,3,false,gap,445.8,8.04e-08,1.37e-07,1.61e-07,0.000266,0.000272
video-20x20x10x3,3,Float16,KrylovSolver,3.0,3.58e-07,0.87,3,false,gap,445.8,4.39e-08,6.44e-08,3.94e-07,0.000266,0.000272
video-20x20x10x3,3,Float16,KrylovSolver,10.0,1.19e-06,0.75,3,false,gap,446,3.71e-08,1.21e-07,1.29e-07,0.000266,0.000272
video-20x20x10x3,3,Float16,KrylovSolver,30.0,3.58e-06,0.65,3,false,gap,445.9,1.42e-07,1.77e-07,3.57e-07,0.000266,0.000272
video-20x20x10x3,3,Float16,KrylovSolver,100.0,1.19e-05,0.48,3,false,gap,446,2.54e-08,1.04e-07,1.64e-07,0.000266,0.000272
rand4-d6,3,Float64,ArpackSolver,1.0,2.22e-16,0.01,3,true,gap,1.009e+14,8.39e-17,2.08e-16,2.54e-16,0.112,0.117
rand4-d6,3,Float64,ArpackSolver,3.0,6.66e-16,0.01,3,true,gap,1.009e+14,1.35e-17,7.51e-17,1.16e-16,0.112,0.117
rand4-d6,3,Float64,ArpackSolver,10.0,2.22e-15,0.01,3,true,gap,1.009e+14,9.37e-17,2e-16,2.98e-16,0.112,0.117
rand4-d6,3,Float64,ArpackSolver,30.0,6.66e-15,0.01,3,true,gap,1.009e+14,2.21e-17,3.5e-17,1.4e-16,0.112,0.117
rand4-d6,3,Float64,ArpackSolver,100.0,2.22e-14,0.01,3,true,gap,1.009e+14,2.73e-17,7.25e-17,1.68e-16,0.112,0.117
rand4-d6,3,Float64,KrylovSolver,1.0,2.22e-16,0.03,3,true,gap,1.009e+14,2.28e-16,3.42e-16,1.03e-15,0.112,0.117
rand4-d6,3,Float64,KrylovSolver,3.0,6.66e-16,0.03,3,true,gap,1.009e+14,4.33e-17,6.61e-16,9.64e-16,0.112,0.117
rand4-d6,3,Float64,KrylovSolver,10.0,2.22e-15,0.03,3,true,gap,9.705e+13,2.15e-16,3.97e-16,1.15e-15,0.112,0.117
rand4-d6,3,Float64,KrylovSolver,30.0,6.66e-15,0.02,3,true,gap,1.009e+14,3.96e-16,7.91e-16,1.08e-15,0.112,0.117
rand4-d6,3,Float64,KrylovSolver,100.0,2.22e-14,0.03,3,true,gap,1.009e+14,1.64e-16,4.81e-16,8.79e-16,0.112,0.117
rand4-d6,3,Float32,ArpackSolver,1.0,1.19e-07,0.00,3,true,gap,1.879e+05,1.88e-08,7.5e-08,8.31e-08,0.112,0.117
rand4-d6,3,Float32,ArpackSolver,3.0,3.58e-07,0.00,3,true,gap,1.879e+05,2.36e-08,5.4e-08,6.48e-08,0.112,0.117
rand4-d6,3,Float32,ArpackSolver,10.0,1.19e-06,0.00,3,true,gap,1.879e+05,3.22e-08,3.22e-08,7.82e-08,0.112,0.117
rand4-d6,3,Float32,ArpackSolver,30.0,3.58e-06,0.00,3,true,gap,1.879e+05,2.62e-08,5.02e-08,6.89e-08,0.112,0.117
rand4-d6,3,Float32,ArpackSolver,100.0,1.19e-05,0.00,3,true,gap,1.879e+05,6.43e-08,9.65e-08,1.36e-07,0.112,0.117
rand4-d6,3,Float32,KrylovSolver,1.0,1.19e-07,0.01,3,true,gap,1.879e+05,1.28e-08,1.17e-07,1.47e-07,0.112,0.117
rand4-d6,3,Float32,KrylovSolver,3.0,3.58e-07,0.01,3,true,gap,1.879e+05,3.74e-08,1.75e-07,2.36e-07,0.112,0.117
rand4-d6,3,Float32,KrylovSolver,10.0,1.19e-06,0.02,3,true,gap,1.879e+05,5.37e-08,8.28e-08,1.63e-07,0.112,0.117
rand4-d6,3,Float32,KrylovSolver,30.0,3.58e-06,0.01,3,true,gap,1.879e+05,3.11e-08,5e-08,7.13e-08,0.112,0.117
rand4-d6,3,Float32,KrylovSolver,100.0,1.19e-05,0.01,3,true,gap,1.879e+05,7.33e-08,9.74e-08,2.62e-07,0.112,0.117
rand4-d6,3,Float16,ArpackSolver,1.0,1.19e-07,0.00,3,true,gap,1.879e+05,1.84e-08,9.72e-08,1.29e-07,0.112,0.117
rand4-d6,3,Float16,ArpackSolver,3.0,3.58e-07,0.00,3,true,gap,1.879e+05,2.87e-10,1.23e-08,1.44e-08,0.112,0.117
rand4-d6,3,Float16,ArpackSolver,10.0,1.19e-06,0.00,3,true,gap,1.879e+05,1.62e-08,2.47e-08,3.22e-08,0.112,0.117
rand4-d6,3,Float16,ArpackSolver,30.0,3.58e-06,0.00,3,true,gap,1.879e+05,1.03e-10,1.11e-07,1.2e-07,0.112,0.117
rand4-d6,3,Float16,ArpackSolver,100.0,1.19e-05,0.00,3,true,gap,1.879e+05,1.01e-09,7.86e-09,2.4e-08,0.112,0.117
rand4-d6,3,Float16,KrylovSolver,1.0,1.19e-07,0.01,3,true,gap,1.879e+05,6.84e-08,7.32e-08,2.51e-07,0.112,0.117
rand4-d6,3,Float16,KrylovSolver,3.0,3.58e-07,0.01,3,true,gap,1.879e+05,1.87e-08,6.16e-08,2.6e-07,0.112,0.117
rand4-d6,3,Float16,KrylovSolver,10.0,1.19e-06,0.01,3,true,gap,1.879e+05,5.68e-08,1.09e-07,1.89e-07,0.112,0.117
rand4-d6,3,Float16,KrylovSolver,30.0,3.58e-06,0.01,3,true,gap,1.879e+05,5.89e-09,4.47e-08,1.38e-07,0.112,0.117
rand4-d6,3,Float16,KrylovSolver,100.0,1.19e-05,0.01,3,true,gap,1.879e+05,2.42e-08,1.16e-07,1.77e-07,0.112,0.117
